DECLARED (league_count = 100000)
missed,player_count,average_score,missing_points,%_missing_pts
0,197614,124,0.00,0.00
1,341352,120,4.00,3.23
2,271809,114,5.00,4.03
3,132474,107,5.67,4.57
4,44035,99,6.25,5.04
5,10553,91,6.60,5.32
6,1884,83,6.83,5.51
7,250,77,6.71,5.41
8,29,64,7.50,6.05

UNDECLARED (league_count = 100000)
missed,player_count,average_score,missing_points,%_missing_pts
0,197718,160,0.00,0.00
1,340434,148,12.00,7.50
2,272424,136,12.00,7.50
3,132714,124,12.00,7.50
4,44062,112,12.00,7.50
5,10555,101,11.80,7.38
6,1842,91,11.50,7.19
7,235,80,11.43,7.14
8,16,84,9.50,5.94

